lr: 2.809971999999914e-06Epoch 182, Train Loss:9.04, Valid_Loss:5.22, Valid_Accuracy:85.28% 
lr: 2.82535646153851e-06Epoch 183, Train Loss:6.04, Valid_Loss:5.98, Valid_Accuracy:87.73% 
lr: 2.840740923076885e-06Epoch 184, Train Loss:3.47, Valid_Loss:3.36, Valid_Accuracy:88.34% 
lr: 2.856125384615481e-06Epoch 185, Train Loss:4.37, Valid_Loss:0.80, Valid_Accuracy:91.41% 
lr: 2.871509846153856e-06Epoch 186, Train Loss:5.23, Valid_Loss:6.27, Valid_Accuracy:90.80% 
lr: 2.88689430769223e-06Epoch 187, Train Loss:4.41, Valid_Loss:5.72, Valid_Accuracy:88.96% 
lr: 2.9022787692308267e-06Epoch 188, Train Loss:6.88, Valid_Loss:4.45, Valid_Accuracy:89.57% 
lr: 2.917663230769201e-06Epoch 189, Train Loss:6.29, Valid_Loss:1.64, Valid_Accuracy:90.80% 
lr: 2.9330476923077977e-06Epoch 190, Train Loss:4.46, Valid_Loss:6.21, Valid_Accuracy:90.18% 
lr: 2.948432153846172e-06Epoch 191, Train Loss:6.11, Valid_Loss:5.39, Valid_Accuracy:85.89% 
lr: 2.9638166153845463e-06Epoch 192, Train Loss:5.96, Valid_Loss:6.73, Valid_Accuracy:90.80% 
lr: 2.979201076923143e-06Epoch 193, Train Loss:5.56, Valid_Loss:3.84, Valid_Accuracy:85.89% 
lr: 2.9945855384615173e-06Epoch 194, Train Loss:6.61, Valid_Loss:2.71, Valid_Accuracy:87.73% 
lr: 3.0099699999998916e-06Epoch 195, Train Loss:4.78, Valid_Loss:5.38, Valid_Accuracy:88.96% 
lr: 3.0253544615384882e-06Epoch 196, Train Loss:9.50, Valid_Loss:4.77, Valid_Accuracy:89.57% 
lr: 3.0407389230768625e-06Epoch 197, Train Loss:5.33, Valid_Loss:1.50, Valid_Accuracy:90.18% 
lr: 3.056123384615459e-06Epoch 198, Train Loss:5.77, Valid_Loss:1.80, Valid_Accuracy:89.57% 
lr: 3.0715078461538335e-06Epoch 199, Train Loss:2.39, Valid_Loss:3.95, Valid_Accuracy:88.34% 
lr: 3.0868923076922082e-06Epoch 200, Train Loss:10.53, Valid_Loss:2.02, Valid_Accuracy:91.41% 
lr: 3.1022767692308044e-06Epoch 201, Train Loss:4.70, Valid_Loss:2.45, Valid_Accuracy:90.80% 
lr: 3.117661230769179e-06Epoch 202, Train Loss:4.00, Valid_Loss:6.68, Valid_Accuracy:91.41% 
