lr: 3.2561213846154373e-06Epoch 211, Train Loss:0.61, Valid_Loss:5.03, Valid_Accuracy:95.47% 
lr: 3.2715058461538116e-06Epoch 212, Train Loss:3.07, Valid_Loss:2.73, Valid_Accuracy:95.47% 
lr: 3.2868903076924083e-06Epoch 213, Train Loss:0.29, Valid_Loss:4.11, Valid_Accuracy:95.47% 
lr: 3.3022747692307826e-06Epoch 214, Train Loss:1.38, Valid_Loss:4.17, Valid_Accuracy:94.97% 
lr: 3.317659230769157e-06Epoch 215, Train Loss:1.39, Valid_Loss:0.86, Valid_Accuracy:95.30% 
lr: 3.3330436923077535e-06Epoch 216, Train Loss:1.37, Valid_Loss:2.23, Valid_Accuracy:94.46% 
lr: 3.348428153846128e-06Epoch 217, Train Loss:1.34, Valid_Loss:3.02, Valid_Accuracy:95.47% 
lr: 3.3638126153847245e-06Epoch 218, Train Loss:2.57, Valid_Loss:3.47, Valid_Accuracy:96.31% 
lr: 3.379197076923099e-06Epoch 219, Train Loss:0.92, Valid_Loss:1.58, Valid_Accuracy:95.30% 
lr: 3.3945815384614735e-06Epoch 220, Train Loss:0.26, Valid_Loss:2.85, Valid_Accuracy:96.14% 
lr: 3.4099660000000698e-06Epoch 221, Train Loss:2.28, Valid_Loss:1.30, Valid_Accuracy:96.14% 
lr: 3.425350461538444e-06Epoch 222, Train Loss:1.05, Valid_Loss:2.83, Valid_Accuracy:95.30% 
lr: 3.4407349230768188e-06Epoch 223, Train Loss:1.71, Valid_Loss:2.06, Valid_Accuracy:95.30% 
lr: 3.456119384615415e-06Epoch 224, Train Loss:0.08, Valid_Loss:1.21, Valid_Accuracy:94.97% 
lr: 3.4715038461537897e-06Epoch 225, Train Loss:1.14, Valid_Loss:2.70, Valid_Accuracy:94.97% 
lr: 3.486888307692386e-06Epoch 226, Train Loss:1.35, Valid_Loss:5.50, Valid_Accuracy:95.81% 
lr: 3.5022727692307607e-06Epoch 227, Train Loss:0.13, Valid_Loss:2.87, Valid_Accuracy:95.30% 
lr: 3.517657230769135e-06Epoch 228, Train Loss:1.34, Valid_Loss:2.27, Valid_Accuracy:94.80% 
lr: 3.5330416923077317e-06Epoch 229, Train Loss:0.24, Valid_Loss:5.33, Valid_Accuracy:95.97% 
lr: 3.548426153846106e-06Epoch 230, Train Loss:1.24, Valid_Loss:5.35, Valid_Accuracy:95.64% 
lr: 3.5638106153847026e-06Epoch 231, Train Loss:0.21, Valid_Loss:4.62, Valid_Accuracy:95.47% 
lr: 3.579195076923077e-06Epoch 232, Train Loss:0.75, Valid_Loss:3.51, Valid_Accuracy:95.81% 
lr: 3.5945795384614512e-06Epoch 233, Train Loss:0.30, Valid_Loss:2.02, Valid_Accuracy:96.48% 
lr: 3.609964000000048e-06Epoch 234, Train Loss:0.49, Valid_Loss:4.18, Valid_Accuracy:96.48% 
lr: 3.625348461538422e-06Epoch 235, Train Loss:1.11, Valid_Loss:4.11, Valid_Accuracy:95.64% 
